<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.03.21	00:00:00	1.09200	1.09374	1.09167	1.09333	7812	0	2
2024.03.21	04:00:00	1.09333	1.09390	1.09325	1.09330	7235	0	2
2024.03.21	08:00:00	1.09330	1.09425	1.08871	1.08913	14270	0	2
2024.03.21	12:00:00	1.08914	1.09235	1.08889	1.09115	19511	0	2
2024.03.21	16:00:00	1.09114	1.09118	1.08557	1.08608	24986	0	2
2024.03.21	20:00:00	1.08608	1.08663	1.08553	1.08595	8704	0	2
2024.03.22	00:00:00	1.08589	1.08680	1.08581	1.08652	4505	0	2
2024.03.22	04:00:00	1.08651	1.08658	1.08310	1.08332	9796	0	2
2024.03.22	08:00:00	1.08332	1.08420	1.08080	1.08116	14040	0	2
2024.03.22	12:00:00	1.08117	1.08310	1.08114	1.08263	17077	0	2
2024.03.22	16:00:00	1.08264	1.08318	1.08057	1.08057	14763	0	2
2024.03.22	20:00:00	1.08057	1.08106	1.08017	1.08087	5938	0	2
2024.03.25	00:00:00	1.08083	1.08102	1.08025	1.08035	4107	0	2
2024.03.25	04:00:00	1.08036	1.08220	1.08020	1.08131	8787	0	2
2024.03.25	08:00:00	1.08132	1.08237	1.08070	1.08137	9242	0	2
2024.03.25	12:00:00	1.08137	1.08340	1.08116	1.08306	10490	0	2
2024.03.25	16:00:00	1.08305	1.08425	1.08291	1.08366	13161	0	2
2024.03.25	20:00:00	1.08365	1.08407	1.08331	1.08366	5867	0	2
2024.03.26	00:00:00	1.08375	1.08429	1.08326	1.08426	5326	0	2
2024.03.26	04:00:00	1.08427	1.08454	1.08357	1.08402	5839	0	2
2024.03.26	08:00:00	1.08400	1.08528	1.08385	1.08495	10022	0	2
2024.03.26	12:00:00	1.08494	1.08643	1.08454	1.08520	17421	0	2
2024.03.26	16:00:00	1.08519	1.08585	1.08241	1.08282	15999	0	2
2024.03.26	20:00:00	1.08283	1.08357	1.08266	1.08313	6531	0	2
2024.03.27	00:00:00	1.08312	1.08332	1.08273	1.08295	4533	0	2
2024.03.27	04:00:00	1.08294	1.08308	1.08204	1.08299	7239	0	2
2024.03.27	08:00:00	1.08298	1.08337	1.08213	1.08285	9237	0	2
2024.03.27	12:00:00	1.08286	1.08391	1.08150	1.08188	13744	0	2
2024.03.27	16:00:00	1.08187	1.08257	1.08108	1.08231	15577	0	2
2024.03.27	20:00:00	1.08230	1.08290	1.08174	1.08279	8554	0	2
2024.03.28	00:00:00	1.08240	1.08273	1.08078	1.08175	6411	0	2
2024.03.28	04:00:00	1.08174	1.08259	1.08148	1.08234	6175	0	2
