datetime,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>,ema_50,ema_100,ema_200,rsi,macd,macd_signal,macd_diff,bb_upper,bb_lower,bb_mid,bb_bandwidth,stoch_k,stoch_d,atr
2025-01-21 12:00:00,1.03527,1.03779,1.03428,1.03777,15334,1.0317513780356466,1.0336230853401853,1.0401458084466657,60.07920613862499,0.002441620084087104,0.001823838451534351,0.0006177816325527528,1.041383953091991,1.0233700469080087,1.0323769999999999,1.7448961168238304,66.50915534554117,61.92163811774004,0.004028976113331306
2025-01-21 16:00:00,1.03788,1.04298,1.03727,1.04212,18805,1.0321579906616998,1.033791341076023,1.0401654521437138,65.91489222475673,0.002813310279248249,0.002021732817077131,0.0007915774621711181,1.042822205983361,1.023282794016639,1.0330525,1.8914248759595513,92.20318960425283,70.30911596771043,0.004149049248093363
2025-01-21 20:00:00,1.04212,1.04353,1.04156,1.04264,7187,1.032569049851437,1.0339665620448146,1.040190074510443,66.5444842986852,0.0031139415115910563,0.002240174555979916,0.0008737669556111403,1.044116849834555,1.023438150165445,1.0337775,2.0003046757266394,94.77085781433576,84.49440092137655,0.003993402873229553
2025-01-22 00:00:00,1.0425,1.04329,1.03921,1.04095,8116,1.0328977145631455,1.0341048479449173,1.0401976359581004,62.503676547176994,0.0031791774741209977,0.0024279751396081325,0.0007512023345128652,1.044949043748793,1.0237369562512075,1.0343430000000002,2.0507788516561143,84.74275576581887,90.57226772813578,0.00399958838228459
2025-01-22 04:00:00,1.04095,1.04213,1.0406,1.04156,5456,1.0332374120312575,1.0342524747182853,1.0402111918192138,63.36832723165007,0.0032427192969108898,0.002590923971068684,0.0006517953258422058,1.0457802865996022,1.0240467134003974,1.0349134999999998,2.1000376552441122,88.35008870490816,89.28790076168757,0.0038231892121214075
2025-01-22 08:00:00,1.04156,1.04473,1.03996,1.04466,14471,1.0336853566574828,1.0344585643278241,1.0402554585672814,67.47328546888444,0.003502842157536268,0.002773307608362201,0.0007295345491740669,1.0470751042799324,1.0241678957200675,1.0356215,2.2119286399389106,99.56386292834881,90.88556913302524,0.0038908185541127313
2025-01-22 12:00:00,1.04467,1.04572,1.04222,1.04316,13248,1.034056911298366,1.0346308699846989,1.0402843594770597,63.750647190203374,0.003547065570760788,0.0029280592008419184,0.0006190063699188695,1.0478327712877715,1.0247942287122283,1.0363134999999999,2.223124814599373,83.77693282636305,90.56362815320665,0.003862902943104683
2025-01-22 16:00:00,1.04313,1.04317,1.04119,1.0417,15252,1.0343566402670574,1.034770852757279,1.0402984454524125,60.26540213305014,0.003424823907950847,0.0030274121422637044,0.00039741176568714245,1.048239296642822,1.0255897033571784,1.0369145000000002,2.184326025496185,73.39510258107263,85.57863277859481,0.003728409875740053
2025-01-22 20:00:00,1.0417,1.04229,1.04066,1.04091,6317,1.0346136347663886,1.034892420029412,1.0403045305722889,58.404788925312275,0.003227001250103223,0.0030673299638316084,0.0001596712862716146,1.0483496254548421,1.0266703745451577,1.03751,2.0895462125362037,58.318890814557804,71.83030874066446,0.0035785234560443365
2025-01-23 00:00:00,1.04083,1.0416,1.04019,1.04036,5075,1.0348389824226087,1.0350006889397207,1.0403050825068931,57.0834371945748,0.0029913624013611084,0.0030521364513375086,-6.077404997640017e-05,1.048115447142494,1.028132552857506,1.038124,1.9249043741391205,53.55285961871677,61.755617671449045,0.0034236289234697505
2025-01-23 04:00:00,1.04035,1.04128,1.03968,1.04051,5486,1.035061375268781,1.035109784208241,1.0403071214869242,57.36672762281051,0.002784621281675781,0.002998633417405163,-0.00021401213572938213,1.0473953315223736,1.0302166684776262,1.038806,1.6536930904083602,54.852686308492295,55.5748122472556,0.003293369714650486
2025-01-23 08:00:00,1.04051,1.04146,1.03899,1.04115,11720,1.0353001448660837,1.0352293924417413,1.0403155083378006,58.62175285252536,0.002641965176148231,0.0029272997691537767,-0.00028533459300554564,1.0467895853542886,1.0320304146457113,1.03941,1.4199565819625788,60.39861351819749,56.26805314846882,0.003234557592175449
2025-01-23 12:00:00,1.04116,1.04202,1.03941,1.04104,13041,1.0355252372242765,1.0353444539775483,1.0403227172100613,58.304065430411384,0.0024913147780722955,0.0028401027709374807,-0.0003487879928651852,1.0460332129669463,1.0338667870330536,1.03995,1.1699048929172289,59.4454072790289,58.2322357019062,0.0031899463355914886
